"Location ","Value ","95% Confidence Interval","Sample Size "
"Alabama","58.6%","52.4% - 64.5%","393"
"Alaska","Results unavailable","Results unavailable","Results unavailable"
"Arizona","47.6%","43.4% - 51.8%","1,132"
"Arkansas","51.0%","47.3% - 54.6%","1,479"
"California","Results unavailable","Results unavailable","Results unavailable"
"Colorado","37.1%","32.2% - 42.3%","971"
"Connecticut","41.0%","35.9% - 46.3%","1,650"
"Delaware","Results unavailable","Results unavailable","Results unavailable"
"District of Columbia","Results unavailable","Results unavailable","Results unavailable"
"Florida","47.5%","44.9% - 50.1%","4,426"
"Georgia","43.3%","25.9% - 62.5%","580"
"Guam","Results unavailable","Results unavailable","Results unavailable"
"Hawaii","35.9%","31.6% - 40.4%","5,132"
"Idaho","44.7%","41.2% - 48.2%","965"
"Illinois","47.0%","43.6% - 50.5%","1,803"
"Indiana","Results unavailable","Results unavailable","Results unavailable"
"Iowa","44.1%","41.1% - 47.1%","1,342"
"Kansas","43.3%","39.6% - 47.1%","1,444"
"Kentucky","52.2%","48.6% - 55.7%","2,119"
"Louisiana","62.1%","52.6% - 70.8%","615"
"Maine","Results unavailable","Results unavailable","Results unavailable"
"Maryland","46.1%","44.9% - 47.3%","33,371"
"Massachusetts","39.8%","36.4% - 43.4%","3,024"
"Michigan","46.2%","41.5% - 51.0%","3,494"
"Minnesota","Results unavailable","Results unavailable","Results unavailable"
"Mississippi","57.4%","54.8% - 60.1%","1,637"
"Missouri","46.1%","41.8% - 50.5%","861"
"Montana","40.0%","38.1% - 41.8%","4,382"
"National","45.3%","42.7% - 47.9%","12,206"
"Nebraska","42.1%","34.5% - 50.0%","638"
"Nevada","Results unavailable","Results unavailable","Results unavailable"
"New Hampshire","Results unavailable","Results unavailable","Results unavailable"
"New Jersey","Results unavailable","Results unavailable","Results unavailable"
"New Mexico","45.3%","42.5% - 48.1%","4,234"
"New York","Results unavailable","Results unavailable","Results unavailable"
"North Carolina","45.5%","40.7% - 50.3%","1,616"
"North Dakota","38.7%","35.1% - 42.4%","1,977"
"Ohio","45.5%","39.6% - 51.7%","703"
"Oklahoma","55.6%","52.8% - 58.4%","1,622"
"Oregon","Results unavailable","Results unavailable","Results unavailable"
"Pennsylvania","48.0%","43.9% - 52.1%","1,545"
"Puerto Rico","68.6%","65.6% - 71.6%","1,265"
"Rhode Island","47.7%","43.7% - 51.8%","2,021"
"South Carolina","55.4%","50.5% - 60.2%","1,560"
"South Dakota","44.9%","40.8% - 49.1%","900"
"Tennessee","48.2%","44.5% - 51.8%","1,657"
"Texas","55.1%","52.3% - 57.9%","1,612"
"Utah","38.4%","33.8% - 43.3%","1,460"
"Vermont","30.5%","29.7% - 31.2%","16,319"
"Virgin Islands","Results unavailable","Results unavailable","Results unavailable"
"Virginia","Results unavailable","Results unavailable","Results unavailable"
"Washington","Results unavailable","Results unavailable","Results unavailable"
"West Virginia","51.1%","48.3% - 54.0%","468"
"Wisconsin","Results unavailable","Results unavailable","Results unavailable"
"Wyoming","Results unavailable","Results unavailable","Results unavailable"
