"Location ","Value ","95% Confidence Interval","Sample Size "
"Alabama","45.9%","43.9% - 47.9%","4,177"
"Alaska","42.4%","40.3% - 44.6%","4,843"
"Arizona","41.6%","40.2% - 43.0%","9,539"
"Arkansas","46.4%","44.2% - 48.6%","4,564"
"California","36.2%","34.6% - 37.9%","6,086"
"Colorado","38.3%","37.1% - 39.5%","9,140"
"Connecticut","36.0%","34.4% - 37.6%","6,995"
"Delaware","39.7%","37.4% - 42.0%","3,146"
"District of Columbia","33.2%","30.7% - 35.8%","2,556"
"Florida","Results unavailable","Results unavailable","Results unavailable"
"Georgia","41.5%","39.7% - 43.3%","6,717"
"Guam","42.7%","38.3% - 47.3%","1,486"
"Hawaii","42.6%","40.9% - 44.2%","7,178"
"Idaho","41.8%","40.2% - 43.3%","6,088"
"Illinois","39.2%","36.9% - 41.5%","2,885"
"Indiana","43.4%","42.0% - 44.7%","8,350"
"Iowa","41.5%","40.2% - 42.9%","8,719"
"Kansas","43.7%","42.7% - 44.7%","15,866"
"Kentucky","45.0%","43.1% - 46.9%","4,934"
"Louisiana","48.6%","46.6% - 50.7%","4,299"
"Maine","35.0%","33.7% - 36.4%","10,834"
"Maryland","37.1%","35.9% - 38.4%","13,312"
"Massachusetts","36.7%","35.2% - 38.3%","7,008"
"Michigan","39.9%","38.5% - 41.3%","7,958"
"Minnesota","36.4%","35.4% - 37.4%","14,100"
"Mississippi","46.9%","44.9% - 49.0%","4,049"
"Missouri","43.4%","42.0% - 44.8%","11,255"
"Montana","40.0%","38.4% - 41.6%","5,755"
"National","39.9%","39.5% - 40.2%","378,903"
"Nebraska","42.7%","41.5% - 43.9%","13,622"
"Nevada","42.1%","39.3% - 45.0%","2,487"
"New Hampshire","36.1%","34.3% - 38.0%","5,635"
"New Jersey","35.7%","34.2% - 37.3%","6,549"
"New Mexico","41.2%","39.5% - 43.0%","5,868"
"New York","36.5%","35.6% - 37.5%","32,484"
"North Carolina","40.4%","38.6% - 42.2%","4,601"
"North Dakota","44.0%","42.3% - 45.8%","5,375"
"Ohio","43.0%","41.8% - 44.3%","12,424"
"Oklahoma","48.7%","46.8% - 50.6%","4,498"
"Oregon","37.7%","36.1% - 39.4%","4,859"
"Pennsylvania","39.4%","37.7% - 41.1%","5,707"
"Puerto Rico","51.1%","48.9% - 53.3%","3,829"
"Rhode Island","35.5%","33.7% - 37.4%","4,786"
"South Carolina","42.5%","40.9% - 44.1%","8,139"
"South Dakota","43.4%","40.6% - 46.3%","6,716"
"Tennessee","46.1%","44.1% - 48.1%","4,152"
"Texas","40.9%","39.1% - 42.6%","9,290"
"Utah","37.7%","36.5% - 39.0%","9,485"
"Vermont","34.4%","32.5% - 36.3%","5,778"
"Virgin Islands","39.7%","32.5% - 47.4%","1,180"
"Virginia","39.6%","38.2% - 41.1%","8,534"
"Washington","36.1%","35.0% - 37.3%","11,817"
"West Virginia","46.0%","44.5% - 47.5%","6,197"
"Wisconsin","38.8%","37.0% - 40.7%","5,622"
"Wyoming","43.3%","41.1% - 45.6%","3,925"
