"Location ","Value ","95% Confidence Interval","Sample Size "
"Alabama","20.6%","18.9% - 22.4%","4,116"
"Alaska","18.7%","17.1% - 20.6%","4,683"
"Arizona","21.7%","20.5% - 22.9%","9,312"
"Arkansas","21.1%","19.3% - 23.1%","4,400"
"California","22.5%","21.1% - 24.0%","5,982"
"Colorado","18.8%","17.8% - 19.8%","8,903"
"Connecticut","20.5%","19.1% - 22.1%","6,740"
"Delaware","20.5%","18.6% - 22.6%","3,034"
"District of Columbia","17.0%","14.9% - 19.3%","2,466"
"Florida","Results unavailable","Results unavailable","Results unavailable"
"Georgia","19.7%","18.3% - 21.3%","6,475"
"Guam","29.4%","25.3% - 33.9%","1,445"
"Hawaii","21.9%","20.6% - 23.4%","7,073"
"Idaho","16.2%","15.0% - 17.4%","5,952"
"Illinois","16.6%","14.8% - 18.6%","2,779"
"Indiana","21.3%","20.2% - 22.5%","8,066"
"Iowa","23.0%","21.8% - 24.2%","8,550"
"Kansas","19.7%","18.9% - 20.5%","15,526"
"Kentucky","19.8%","18.3% - 21.4%","4,805"
"Louisiana","25.7%","23.9% - 27.5%","4,208"
"Maine","13.1%","12.2% - 14.1%","10,560"
"Maryland","19.2%","18.2% - 20.3%","12,998"
"Massachusetts","17.2%","16.0% - 18.4%","6,890"
"Michigan","19.4%","18.3% - 20.7%","7,734"
"Minnesota","20.6%","19.7% - 21.5%","13,756"
"Mississippi","23.2%","21.4% - 25.1%","3,938"
"Missouri","19.5%","18.4% - 20.7%","11,039"
"Montana","16.9%","15.7% - 18.2%","5,631"
"National","20.6%","20.3% - 20.9%","368,969"
"Nebraska","20.8%","19.8% - 21.8%","13,468"
"Nevada","24.2%","21.7% - 26.8%","2,448"
"New Hampshire","15.6%","14.2% - 17.1%","5,482"
"New Jersey","21.9%","20.6% - 23.3%","6,273"
"New Mexico","22.3%","20.8% - 23.9%","5,767"
"New York","21.5%","20.7% - 22.3%","31,053"
"North Carolina","18.1%","16.7% - 19.5%","4,525"
"North Dakota","22.8%","21.3% - 24.3%","5,276"
"Ohio","19.7%","18.6% - 20.8%","12,035"
"Oklahoma","20.7%","19.2% - 22.4%","4,230"
"Oregon","16.4%","15.1% - 17.7%","4,791"
"Pennsylvania","19.4%","18.1% - 20.9%","5,608"
"Puerto Rico","46.6%","44.4% - 48.8%","3,800"
"Rhode Island","19.7%","18.2% - 21.4%","4,641"
"South Carolina","20.7%","19.3% - 22.2%","7,842"
"South Dakota","19.2%","17.1% - 21.6%","6,605"
"Tennessee","19.8%","18.1% - 21.6%","4,035"
"Texas","24.5%","22.8% - 26.2%","8,932"
"Utah","20.0%","19.0% - 21.1%","9,335"
"Vermont","14.1%","12.7% - 15.7%","5,613"
"Virgin Islands","32.2%","25.1% - 40.3%","1,149"
"Virginia","18.1%","16.9% - 19.4%","8,278"
"Washington","19.1%","18.1% - 20.1%","11,599"
"West Virginia","18.9%","17.7% - 20.2%","6,108"
"Wisconsin","20.1%","18.6% - 21.7%","5,550"
"Wyoming","19.2%","17.3% - 21.1%","3,859"
