"Location ","Value ","95% Confidence Interval","Sample Size "
"Alabama","21.2%","17.8% - 25.0%","811"
"Alaska","18.3%","14.9% - 22.2%","982"
"Arizona","21.7%","19.0% - 24.5%","1,784"
"Arkansas","20.0%","16.8% - 23.7%","792"
"California","21.7%","18.6% - 25.2%","1,005"
"Colorado","18.7%","16.2% - 21.5%","1,494"
"Connecticut","17.6%","14.9% - 20.8%","1,416"
"Delaware","18.5%","14.6% - 23.2%","629"
"District of Columbia","17.8%","13.0% - 23.9%","398"
"Florida","Results unavailable","Results unavailable","Results unavailable"
"Georgia","20.0%","16.7% - 23.7%","1,195"
"Guam","31.2%","22.4% - 41.5%","302"
"Hawaii","21.0%","18.1% - 24.2%","1,286"
"Idaho","13.1%","10.8% - 15.7%","1,010"
"Illinois","15.5%","11.9% - 19.9%","497"
"Indiana","19.8%","17.6% - 22.2%","1,598"
"Iowa","21.5%","19.1% - 24.1%","1,561"
"Kansas","20.5%","18.7% - 22.4%","3,010"
"Kentucky","19.5%","16.4% - 22.9%","978"
"Louisiana","26.2%","22.6% - 30.1%","869"
"Maine","14.1%","12.2% - 16.2%","2,112"
"Maryland","18.4%","16.4% - 20.5%","2,662"
"Massachusetts","15.8%","13.4% - 18.6%","1,322"
"Michigan","18.5%","16.1% - 21.0%","1,594"
"Minnesota","18.9%","17.1% - 20.8%","2,615"
"Mississippi","24.4%","20.9% - 28.2%","788"
"Missouri","19.3%","16.9% - 22.0%","2,001"
"Montana","14.9%","12.6% - 17.5%","1,140"
"National","19.9%","19.2% - 20.6%","70,784"
"Nebraska","19.7%","17.6% - 21.9%","2,544"
"Nevada","25.4%","19.8% - 32.0%","431"
"New Hampshire","14.8%","12.3% - 17.6%","1,164"
"New Jersey","21.0%","18.1% - 24.2%","1,150"
"New Mexico","24.8%","21.4% - 28.6%","1,106"
"New York","21.1%","19.3% - 23.1%","6,297"
"North Carolina","18.8%","15.7% - 22.3%","785"
"North Dakota","22.6%","19.6% - 25.9%","975"
"Ohio","19.3%","17.2% - 21.6%","2,376"
"Oklahoma","21.1%","17.6% - 25.0%","756"
"Oregon","16.3%","13.5% - 19.5%","784"
"Pennsylvania","18.1%","15.3% - 21.4%","1,075"
"Puerto Rico","46.2%","41.2% - 51.2%","723"
"Rhode Island","17.9%","14.8% - 21.5%","1,019"
"South Carolina","18.8%","16.3% - 21.6%","1,489"
"South Dakota","20.5%","15.8% - 26.1%","1,319"
"Tennessee","21.2%","17.6% - 25.2%","750"
"Texas","23.3%","19.3% - 27.8%","1,527"
"Utah","21.1%","18.6% - 23.9%","1,446"
"Vermont","14.0%","11.3% - 17.3%","1,242"
"Virgin Islands","18.4%","12.7% - 25.9%","270"
"Virginia","17.2%","14.7% - 20.0%","1,615"
"Washington","18.7%","16.6% - 20.9%","2,176"
"West Virginia","21.4%","18.9% - 24.2%","1,322"
"Wisconsin","18.3%","15.4% - 21.6%","1,173"
"Wyoming","17.2%","13.8% - 21.2%","714"
