"Location ","Value ","95% Confidence Interval","Sample Size "
"Alabama","18.4%","16.5% - 20.6%","2,477"
"Alaska","18.3%","15.9% - 21.0%","2,308"
"Arizona","19.0%","17.5% - 20.6%","4,957"
"Arkansas","19.4%","17.1% - 21.9%","2,567"
"California","19.3%","17.4% - 21.3%","2,964"
"Colorado","15.5%","14.2% - 16.9%","4,361"
"Connecticut","17.5%","15.6% - 19.6%","3,551"
"Delaware","15.9%","13.6% - 18.5%","1,679"
"District of Columbia","15.5%","12.9% - 18.6%","1,389"
"Florida","Results unavailable","Results unavailable","Results unavailable"
"Georgia","17.2%","15.3% - 19.2%","3,718"
"Guam","28.0%","22.5% - 34.3%","737"
"Hawaii","21.0%","19.2% - 22.9%","3,839"
"Idaho","16.1%","14.4% - 17.9%","3,167"
"Illinois","14.8%","12.2% - 17.7%","1,467"
"Indiana","18.8%","17.3% - 20.4%","4,397"
"Iowa","20.3%","18.8% - 22.0%","4,324"
"Kansas","17.8%","16.7% - 19.0%","8,240"
"Kentucky","17.6%","15.6% - 19.7%","2,546"
"Louisiana","23.9%","21.6% - 26.4%","2,343"
"Maine","11.0%","9.9% - 12.3%","6,038"
"Maryland","16.9%","15.6% - 18.4%","7,076"
"Massachusetts","15.4%","13.9% - 17.1%","3,735"
"Michigan","17.8%","16.3% - 19.4%","4,236"
"Minnesota","18.6%","17.4% - 19.8%","7,116"
"Mississippi","21.9%","19.8% - 24.1%","2,345"
"Missouri","17.4%","15.9% - 19.0%","5,981"
"Montana","15.3%","13.6% - 17.1%","2,793"
"National","18.0%","17.6% - 18.4%","198,289"
"Nebraska","19.1%","17.8% - 20.5%","7,346"
"Nevada","21.6%","18.3% - 25.2%","1,309"
"New Hampshire","12.5%","10.8% - 14.3%","3,063"
"New Jersey","18.8%","17.1% - 20.7%","3,225"
"New Mexico","21.1%","19.2% - 23.3%","3,176"
"New York","18.2%","17.2% - 19.3%","16,835"
"North Carolina","15.9%","14.1% - 17.9%","2,440"
"North Dakota","18.0%","16.0% - 20.2%","2,586"
"Ohio","16.5%","15.3% - 17.9%","6,577"
"Oklahoma","19.2%","17.2% - 21.3%","2,399"
"Oregon","13.2%","11.6% - 15.0%","2,496"
"Pennsylvania","17.1%","15.3% - 19.1%","2,959"
"Puerto Rico","47.8%","45.0% - 50.7%","2,314"
"Rhode Island","17.2%","15.1% - 19.6%","2,564"
"South Carolina","17.9%","16.2% - 19.7%","4,359"
"South Dakota","16.4%","13.8% - 19.4%","3,529"
"Tennessee","17.4%","15.2% - 19.7%","2,202"
"Texas","21.4%","19.1% - 23.9%","4,609"
"Utah","18.1%","16.7% - 19.6%","4,634"
"Vermont","10.8%","9.0% - 12.8%","3,060"
"Virgin Islands","32.3%","21.2% - 45.8%","621"
"Virginia","16.6%","15.0% - 18.4%","4,556"
"Washington","16.0%","14.7% - 17.4%","6,146"
"West Virginia","17.3%","15.8% - 19.0%","3,407"
"Wisconsin","16.5%","14.6% - 18.5%","2,982"
"Wyoming","17.1%","14.7% - 19.8%","2,216"
