"Location ","Value ","95% Confidence Interval","Sample Size "
"Alabama","22.9%","20.3% - 25.9%","1,639"
"Alaska","19.1%","16.9% - 21.7%","2,375"
"Arizona","24.5%","22.7% - 26.3%","4,355"
"Arkansas","23.0%","20.3% - 26.0%","1,833"
"California","25.8%","23.9% - 27.9%","3,018"
"Colorado","22.0%","20.6% - 23.5%","4,542"
"Connecticut","23.9%","21.7% - 26.3%","3,189"
"Delaware","25.5%","22.5% - 28.7%","1,355"
"District of Columbia","18.8%","15.6% - 22.6%","1,077"
"Florida","Results unavailable","Results unavailable","Results unavailable"
"Georgia","22.6%","20.3% - 25.1%","2,757"
"Guam","30.8%","24.9% - 37.3%","708"
"Hawaii","22.9%","20.9% - 25.1%","3,234"
"Idaho","16.2%","14.6% - 17.9%","2,785"
"Illinois","18.7%","16.2% - 21.4%","1,312"
"Indiana","24.0%","22.3% - 25.8%","3,669"
"Iowa","25.7%","24.0% - 27.5%","4,226"
"Kansas","21.6%","20.4% - 22.9%","7,286"
"Kentucky","22.2%","19.9% - 24.6%","2,259"
"Louisiana","27.6%","25.0% - 30.4%","1,865"
"Maine","15.4%","13.9% - 17.0%","4,522"
"Maryland","21.8%","20.3% - 23.5%","5,922"
"Massachusetts","19.1%","17.4% - 21.0%","3,155"
"Michigan","21.3%","19.5% - 23.1%","3,498"
"Minnesota","22.6%","21.4% - 23.9%","6,640"
"Mississippi","24.7%","21.8% - 27.8%","1,593"
"Missouri","21.8%","20.1% - 23.7%","5,058"
"Montana","18.5%","16.7% - 20.4%","2,838"
"National","23.3%","22.9% - 23.8%","170,680"
"Nebraska","22.6%","21.1% - 24.1%","6,122"
"Nevada","26.7%","23.2% - 30.7%","1,139"
"New Hampshire","18.8%","16.6% - 21.2%","2,419"
"New Jersey","25.2%","23.2% - 27.3%","3,048"
"New Mexico","23.5%","21.3% - 25.9%","2,591"
"New York","25.0%","23.7% - 26.3%","14,218"
"North Carolina","20.5%","18.4% - 22.7%","2,085"
"North Dakota","27.2%","25.1% - 29.5%","2,690"
"Ohio","23.0%","21.4% - 24.7%","5,458"
"Oklahoma","22.4%","20.0% - 25.1%","1,831"
"Oregon","19.7%","17.8% - 21.7%","2,295"
"Pennsylvania","21.9%","19.9% - 24.1%","2,649"
"Puerto Rico","45.2%","41.7% - 48.7%","1,486"
"Rhode Island","22.5%","20.2% - 24.9%","2,077"
"South Carolina","23.8%","21.6% - 26.1%","3,483"
"South Dakota","22.1%","18.8% - 25.7%","3,076"
"Tennessee","22.5%","19.9% - 25.2%","1,833"
"Texas","27.7%","25.3% - 30.2%","4,323"
"Utah","22.0%","20.5% - 23.6%","4,701"
"Vermont","17.6%","15.5% - 20.0%","2,553"
"Virgin Islands","32.1%","24.9% - 40.3%","528"
"Virginia","19.7%","18.0% - 21.6%","3,722"
"Washington","22.2%","20.8% - 23.8%","5,453"
"West Virginia","20.6%","18.8% - 22.5%","2,701"
"Wisconsin","23.8%","21.4% - 26.3%","2,568"
"Wyoming","21.2%","18.5% - 24.1%","1,643"
