"Location ","Value ","95% Confidence Interval","Sample Size "
"Alabama","55.0%","49.0% - 60.9%","601"
"Alaska","42.6%","36.4% - 48.8%","631"
"Arizona","52.8%","46.2% - 59.4%","570"
"Arkansas","49.4%","43.3% - 55.5%","615"
"California","48.8%","44.1% - 53.5%","1,482"
"Colorado","48.0%","43.3% - 52.7%","992"
"Connecticut","47.2%","41.5% - 52.9%","672"
"Delaware","54.8%","48.5% - 61.0%","586"
"District of Columbia","43.2%","36.4% - 49.9%","721"
"Florida","59.2%","53.1% - 65.3%","585"
"Georgia","47.0%","42.1% - 51.9%","815"
"Guam","Results unavailable","Results unavailable","Results unavailable"
"Hawaii","50.7%","44.7% - 56.8%","678"
"Idaho","51.5%","45.7% - 57.4%","583"
"Illinois","54.8%","49.2% - 60.3%","659"
"Indiana","53.1%","47.6% - 58.6%","638"
"Iowa","48.7%","43.0% - 54.3%","674"
"Kansas","48.4%","42.8% - 53.9%","655"
"Kentucky","51.9%","46.1% - 57.7%","623"
"Louisiana","63.6%","57.8% - 69.5%","581"
"Maine","34.9%","29.9% - 39.9%","688"
"Maryland","47.5%","41.2% - 53.7%","553"
"Massachusetts","48.2%","42.3% - 54.2%","570"
"Michigan","43.8%","38.6% - 49.0%","611"
"Minnesota","43.1%","37.3% - 48.9%","602"
"Mississippi","61.7%","55.5% - 67.9%","553"
"Missouri","40.9%","35.2% - 46.6%","631"
"Montana","45.9%","39.9% - 51.9%","643"
"National","50.4%","49.2% - 51.6%","35,859"
"Nebraska","51.1%","45.8% - 56.4%","715"
"Nevada","48.4%","42.1% - 54.7%","552"
"New Hampshire","40.8%","35.5% - 46.1%","602"
"New Jersey","52.3%","46.5% - 58.1%","611"
"New Mexico","45.9%","39.7% - 52.2%","607"
"New York","52.2%","47.7% - 56.7%","1,546"
"North Carolina","45.9%","39.3% - 52.4%","547"
"North Dakota","46.1%","40.6% - 51.5%","599"
"Ohio","49.4%","45.0% - 53.8%","868"
"Oklahoma","57.2%","51.1% - 63.3%","605"
"Oregon","44.0%","40.4% - 47.6%","1,574"
"Pennsylvania","48.2%","42.9% - 53.6%","771"
"Puerto Rico","Results unavailable","Results unavailable","Results unavailable"
"Rhode Island","50.7%","44.7% - 56.8%","625"
"South Carolina","49.5%","43.7% - 55.3%","601"
"South Dakota","48.7%","43.1% - 54.4%","657"
"Tennessee","46.8%","41.8% - 51.9%","863"
"Texas","56.0%","49.8% - 62.1%","575"
"Utah","53.7%","48.7% - 58.7%","659"
"Vermont","34.7%","29.1% - 40.3%","597"
"Virgin Islands","Results unavailable","Results unavailable","Results unavailable"
"Virginia","50.1%","44.3% - 55.9%","604"
"Washington","41.0%","35.5% - 46.6%","660"
"West Virginia","47.7%","41.9% - 53.6%","639"
"Wisconsin","41.5%","36.5% - 46.5%","899"
"Wyoming","47.2%","41.7% - 52.7%","671"
