One occupation for multiple geographical areas,,,,,,
,,,,,,
Occupation: Database Architects (SOC code 15-1243),,,,,,
Period: May 2024,,,,,,
,,,,,,
Area Name,Annual mean wage (2),,,,,
Alabama (01-00000),"$117,510",,,,,
Alaska (02-00000),"$111,570",,,,,
Arizona (04-00000),"$135,080",,,,,
Arkansas (05-00000),"$109,380",,,,,
California (06-00000),"$162,820",,,,,
Colorado (08-00000),"$152,940",,,,,
Connecticut (09-00000),"$147,910",,,,,
Delaware (10-00000),"$150,060",,,,,
District of Columbia (11-00000),"$158,550",,,,,
Florida (12-00000),"$138,280",,,,,
Georgia (13-00000),"$141,590",,,,,
Hawaii (15-00000),"$150,190",,,,,
Idaho (16-00000),"$130,240",,,,,
Illinois (17-00000),"$136,370",,,,,
Indiana (18-00000),"$132,150",,,,,
Iowa (19-00000),"$124,910",,,,,
Kansas (20-00000),"$124,980",,,,,
Kentucky (21-00000),"$110,400",,,,,
Louisiana (22-00000),(8) -,,,,,
Maine (23-00000),"$134,200",,,,,
Maryland (24-00000),"$143,020",,,,,
Massachusetts (25-00000),"$161,000",,,,,
Michigan (26-00000),"$117,600",,,,,
Minnesota (27-00000),"$127,730",,,,,
Mississippi (28-00000),"$92,400",,,,,
Missouri (29-00000),"$112,730",,,,,
Montana (30-00000),"$124,500",,,,,
Nebraska (31-00000),"$129,750",,,,,
Nevada (32-00000),"$124,010",,,,,
New Jersey (34-00000),"$144,260",,,,,
New Mexico (35-00000),"$117,620",,,,,
New York (36-00000),"$137,840",,,,,
North Carolina (37-00000),"$129,750",,,,,
North Dakota (38-00000),"$112,830",,,,,
Ohio (39-00000),"$133,170",,,,,
Oklahoma (40-00000),"$133,880",,,,,
Oregon (41-00000),"$147,530",,,,,
Pennsylvania (42-00000),"$130,130",,,,,
Puerto Rico (72-00000),"$78,160",,,,,
Rhode Island (44-00000),"$149,350",,,,,
South Carolina (45-00000),"$128,340",,,,,
South Dakota (46-00000),"$121,220",,,,,
Tennessee (47-00000),"$125,840",,,,,
Texas (48-00000),"$136,930",,,,,
Utah (49-00000),"$134,470",,,,,
Vermont (50-00000),(8) -,,,,,
Virginia (51-00000),(8) -,,,,,
Washington (53-00000),"$147,540",,,,,
West Virginia (54-00000),"$132,690",,,,,
Wisconsin (55-00000),"$140,770",,,,,
Wyoming (56-00000),"$68,880",,,,,
Footnotes:,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,
(8) Estimate not released.,,,,,,
,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,
,,,,,,
"Data extracted on November 05, 2025",,,,,,
