One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Statisticians (SOC code 15-2041),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Alabama (01-00000),200,11.9,$36.96,"$76,870",1.7,$23.68,$27.68,$32.45,$42.06,$53.90,"$49,260","$57,580","$67,490","$87,480","$112,120",0.095,0.5
Alaska (02-00000),60,6.0,$43.51,"$90,500",1.1,$17.57,$30.96,$40.28,$57.48,$69.26,"$36,550","$64,400","$83,780","$119,570","$144,060",0.178,0.9
Arizona (04-00000),360,26.7,$49.08,"$102,090",5.9,$25.49,$32.54,$43.91,$61.02,$74.45,"$53,020","$67,690","$91,320","$126,930","$154,850",0.112,0.6
California (06-00000),"2,810",7.0,$62.76,"$130,530",1.5,$28.91,$44.49,$61.32,$79.70,$94.64,"$60,130","$92,540","$127,550","$165,770","$196,850",0.155,0.8
Colorado (08-00000),920,11.1,$50.53,"$105,110",3.5,$29.64,$36.59,$46.78,$62.75,$74.49,"$61,650","$76,110","$97,310","$130,520","$154,930",0.318,1.6
Connecticut (09-00000),320,14.3,$48.48,"$100,840",5.2,$28.85,$38.68,$46.00,$56.72,$69.69,"$60,010","$80,450","$95,680","$117,970","$144,950",0.189,1.0
Delaware (10-00000),90,7.8,$59.73,"$124,240",1.4,$35.56,$46.94,$60.88,$74.84,$89.40,"$73,960","$97,640","$126,640","$155,660","$185,940",0.189,1.0
District of Columbia (11-00000),610,4.8,$63.74,"$132,570",1.0,$37.27,$51.53,$64.27,$75.95,$84.88,"$77,520","$107,180","$133,680","$157,980","$176,550",0.859,4.4
Florida (12-00000),620,11.6,$56.18,"$116,860",6.1,$22.35,$33.14,$50.08,$72.49,$100.22,"$46,490","$68,920","$104,160","$150,790","$208,450",0.063,0.3
Georgia (13-00000),550,7.3,$54.96,"$114,320",1.1,$34.25,$44.18,$52.06,$66.54,$76.57,"$71,230","$91,890","$108,280","$138,400","$159,270",0.114,0.6
Hawaii (15-00000),90,2.1,$40.50,"$84,230",0.7,$28.16,$30.47,$36.93,$45.80,$60.42,"$58,570","$63,370","$76,810","$95,260","$125,670",0.143,0.7
Illinois (17-00000),490,20.6,$58.36,"$121,380",2.9,$38.93,$47.30,$56.18,$69.95,$80.88,"$80,970","$98,390","$116,860","$145,500","$168,230",0.082,0.4
Indiana (18-00000),240,7.4,$52.91,"$110,060",2.6,$20.40,$35.78,$54.34,$67.54,$80.72,"$42,430","$74,420","$113,030","$140,490","$167,900",0.075,0.4
Iowa (19-00000),280,18.8,$43.40,"$90,270",12.8,$20.35,$23.67,$41.42,$57.42,$73.03,"$42,330","$49,240","$86,160","$119,440","$151,890",0.176,0.9
Kansas (20-00000),50,17.8,$49.01,"$101,930",5.2,$34.73,$39.97,$44.87,$59.65,$69.61,"$72,230","$83,150","$93,330","$124,080","$144,790",0.036,0.2
Kentucky (21-00000),90,6.3,$51.52,"$107,160",1.8,$28.85,$39.42,$49.71,$64.61,$72.45,"$60,010","$81,990","$103,400","$134,390","$150,700",0.045,0.2
Louisiana (22-00000),60,2.2,$37.65,"$78,310",0.6,$22.61,$26.88,$34.88,$46.90,$59.66,"$47,020","$55,910","$72,550","$97,550","$124,090",0.030,0.2
Maine (23-00000),60,10.7,$41.15,"$85,590",1.7,$23.54,$31.80,$32.03,$55.97,$67.40,"$48,960","$66,140","$66,620","$116,420","$140,180",0.089,0.5
Maryland (24-00000),"3,070",2.8,$61.41,"$127,740",0.6,$39.03,$50.87,$61.99,$73.71,$80.42,"$81,170","$105,810","$128,940","$153,320","$167,270",1.118,5.8
Massachusetts (25-00000),"1,990",27.0,$52.33,"$108,850",3.7,$30.57,$39.94,$47.71,$61.67,$80.67,"$63,590","$83,060","$99,230","$128,270","$167,790",0.548,2.8
Michigan (26-00000),590,12.4,$50.16,"$104,340",4.3,$30.87,$37.73,$46.53,$58.64,$71.27,"$64,210","$78,470","$96,780","$121,970","$148,240",0.134,0.7
Minnesota (27-00000),"1,010",6.1,$43.66,"$90,810",3.2,$28.67,$28.67,$38.53,$58.62,$66.33,"$59,630","$59,630","$80,140","$121,930","$137,960",0.344,1.8
