One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Management Analysts (SOC code 13-1111),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Alabama (01-00000),"4,980",6.8,$53.50,"$111,280",2.8,$29.42,$38.05,$49.27,$62.03,$79.42,"$61,200","$79,150","$102,480","$129,020","$165,190",2.382,0.4
Alaska (02-00000),420,3.9,$51.59,"$107,310",0.7,$34.73,$41.31,$50.37,$61.39,$69.26,"$72,240","$85,920","$104,770","$127,690","$144,060",1.307,0.2
Arizona (04-00000),"18,110",9.8,$56.61,"$117,750",13.8,$24.43,$31.98,$43.04,$60.06,$81.26,"$50,820","$66,520","$89,520","$124,930","$169,020",5.665,1.0
Arkansas (05-00000),"4,530",7.1,$38.75,"$80,610",4.6,$17.97,$23.55,$34.88,$48.69,$63.42,"$37,370","$48,980","$72,550","$101,280","$131,910",3.512,0.6
California (06-00000),"136,200",2.4,$57.89,"$120,410",1.4,$29.77,$37.56,$49.09,$67.44,$89.91,"$61,920","$78,120","$102,110","$140,280","$187,010",7.542,1.3
Colorado (08-00000),"14,940",19.7,$55.99,"$116,450",3.9,$29.92,$38.09,$50.48,$67.40,$90.86,"$62,230","$79,220","$104,990","$140,180","$188,980",5.168,0.9
Connecticut (09-00000),"8,570",8.0,$58.02,"$120,670",4.1,$31.31,$38.97,$49.88,$66.29,$97.30,"$65,120","$81,060","$103,740","$137,880","$202,370",5.096,0.9
Delaware (10-00000),"4,030",8.4,$51.79,"$107,720",2.8,$27.80,$35.07,$46.65,$59.84,$73.59,"$57,820","$72,940","$97,030","$124,470","$153,060",8.455,1.5
District of Columbia (11-00000),"20,330",5.1,$61.32,"$127,540",1.4,$39.79,$48.19,$60.34,$69.94,$84.07,"$82,760","$100,230","$125,500","$145,480","$174,860",28.689,4.9
Florida (12-00000),"74,030",4.8,$47.42,"$98,630",2.5,$23.41,$30.03,$39.96,$57.20,$77.76,"$48,690","$62,460","$83,130","$118,980","$161,740",7.539,1.3
