One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Market Research Analysts and Marketing Specialists (SOC code 13-1161),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Alabama (01-00000),"8,780",7.1,$32.13,"$66,840",2.7,$16.24,$21.47,$26.63,$37.99,$54.86,"$33,790","$44,660","$55,390","$79,030","$114,110",4.199,0.8
Alaska (02-00000),410,8.3,$33.04,"$68,720",3.4,$21.46,$25.41,$30.27,$38.46,$45.59,"$44,640","$52,850","$62,960","$79,990","$94,840",1.266,0.2
Arizona (04-00000),"18,020",4.8,$36.24,"$75,390",2.3,$17.99,$23.04,$32.09,$43.37,$61.88,"$37,430","$47,930","$66,750","$90,210","$128,720",5.638,1.0
Arkansas (05-00000),"6,420",3.9,$36.13,"$75,160",2.1,$14.62,$22.68,$31.17,$47.06,$63.70,"$30,410","$47,180","$64,830","$97,880","$132,500",4.979,0.9
California (06-00000),"108,460",2.0,$51.34,"$106,780",1.3,$23.07,$30.59,$44.60,$64.75,$85.65,"$47,980","$63,620","$92,770","$134,680","$178,140",6.006,1.1
Colorado (08-00000),"30,000",7.5,$44.86,"$93,310",2.1,$23.23,$30.35,$38.79,$53.18,$76.66,"$48,320","$63,120","$80,670","$110,610","$159,450",10.378,1.9
Connecticut (09-00000),"9,010",4.4,$38.62,"$80,340",1.6,$21.06,$26.54,$36.21,$47.05,$60.97,"$43,800","$55,190","$75,320","$97,850","$126,810",5.355,1.0
Delaware (10-00000),"3,220",5.0,$48.70,"$101,290",2.0,$24.95,$32.41,$47.43,$63.64,$73.81,"$51,900","$67,420","$98,650","$132,370","$153,530",6.761,1.2
District of Columbia (11-00000),"5,570",9.0,$48.02,"$99,870",3.4,$28.33,$32.70,$40.07,$58.04,$80.65,"$58,920","$68,010","$83,340","$120,710","$167,750",7.865,1.4
Florida (12-00000),"54,090",3.2,$39.74,"$82,650",1.6,$20.37,$26.96,$37.25,$48.27,$63.85,"$42,370","$56,070","$77,490","$100,390","$132,800",5.508,1.0
Georgia (13-00000),"26,000",3.4,$40.23,"$83,680",2.3,$17.95,$24.30,$36.29,$51.25,$67.22,"$37,330","$50,550","$75,490","$106,600","$139,820",5.354,1.0
Guam (66-00000),90,8.5,$22.71,"$47,230",2.6,$15.94,$17.89,$21.13,$25.47,$29.68,"$33,150","$37,210","$43,940","$52,980","$61,730",1.444,0.3
Hawaii (15-00000),"1,520",7.5,$33.26,"$69,170",3.7,$14.42,$22.77,$31.67,$39.17,$56.58,"$29,990","$47,350","$65,870","$81,470","$117,690",2.451,0.4
Idaho (16-00000),"3,390",6.4,$31.22,"$64,940",3.3,$15.00,$20.00,$28.37,$37.84,$55.85,"$31,200","$41,600","$59,010","$78,700","$116,170",4.012,0.7
Illinois (17-00000),"35,350",3.9,$38.60,"$80,300",1.4,$20.04,$26.46,$35.02,$47.55,$64.45,"$41,690","$55,030","$72,840","$98,900","$134,050",5.828,1.0
Indiana (18-00000),"14,780",3.2,$34.50,"$71,760",1.1,$19.14,$23.76,$30.47,$40.81,$53.45,"$39,820","$49,420","$63,380","$84,880","$111,170",4.638,0.8
Iowa (19-00000),"8,290",3.4,$36.34,"$75,600",1.4,$18.79,$24.31,$32.36,$45.38,$60.00,"$39,090","$50,560","$67,300","$94,390","$124,790",5.308,0.9
Kansas (20-00000),"8,340",4.2,$34.33,"$71,410",2.3,$16.88,$22.95,$29.92,$42.43,$59.24,"$35,110","$47,740","$62,230","$88,250","$123,220",5.825,1.0
Kentucky (21-00000),"5,310",5.3,$31.89,"$66,330",2.5,$17.59,$22.60,$28.57,$38.07,$48.95,"$36,580","$47,000","$59,420","$79,180","$101,820",2.662,0.5
Louisiana (22-00000),"5,470",6.1,$30.91,"$64,300",4.4,$15.56,$21.40,$27.55,$36.58,$54.44,"$32,350","$44,500","$57,300","$76,080","$113,240",2.863,0.5
Maine (23-00000),"2,030",9.4,$35.93,"$74,730",2.6,$20.27,$25.93,$34.95,$43.43,$52.48,"$42,170","$53,940","$72,690","$90,340","$109,150",3.199,0.6
Maryland (24-00000),"12,080",4.5,$38.63,"$80,360",1.9,$18.67,$26.31,$35.37,$47.07,$63.30,"$38,840","$54,730","$73,560","$97,910","$131,660",4.399,0.8
Massachusetts (25-00000),"37,320",3.6,$48.03,"$99,910",1.6,$25.04,$33.65,$44.92,$62.42,$77.59,"$52,070","$69,990","$93,430","$129,830","$161,390",10.245,1.8
Michigan (26-00000),"23,180",2.6,$36.62,"$76,170",1.4,$19.00,$23.95,$32.75,$45.77,$60.11,"$39,530","$49,810","$68,120","$95,190","$125,030",5.280,0.9
Minnesota (27-00000),"24,650",3.2,$43.24,"$89,940",1.4,$23.33,$29.26,$39.16,$54.91,$66.87,"$48,520","$60,860","$81,460","$114,210","$139,090",8.441,1.5
Mississippi (28-00000),"2,800",4.7,$27.25,"$56,680",3.3,$11.45,$19.02,$27.65,$31.61,$40.70,"$23,820","$39,550","$57,520","$65,740","$84,660",2.417,0.4
Missouri (29-00000),"13,310",5.0,$35.49,"$73,810",1.7,$18.58,$23.42,$30.90,$43.15,$60.25,"$38,650","$48,710","$64,280","$89,760","$125,310",4.562,0.8
Montana (30-00000),"1,490",8.0,$34.92,"$72,630",5.5,$18.44,$24.63,$32.14,$40.92,$58.51,"$38,350","$51,230","$66,840","$85,110","$121,690",2.921,0.5
