One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Computer Systems Analysts (SOC code 15-1211),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Alabama (01-00000),"6,830",7.1,$54.06,"$112,430",2.6,$31.58,$39.01,$49.87,$63.79,$79.56,"$65,690","$81,130","$103,730","$132,670","$165,490",3.268,1.0
Alaska (02-00000),490,12.4,$44.13,"$91,780",3.2,$28.17,$36.52,$40.77,$51.40,$61.66,"$58,600","$75,960","$84,800","$106,900","$128,250",1.524,0.5
Arizona (04-00000),"10,010",8.2,$51.41,"$106,930",3.7,$29.96,$38.71,$48.91,$62.22,$78.52,"$62,320","$80,510","$101,730","$129,420","$163,320",3.130,1.0
Arkansas (05-00000),"3,600",16.8,$33.80,"$70,300",2.2,$13.78,$20.55,$34.88,$43.87,$50.94,"$28,660","$42,750","$72,540","$91,250","$105,950",2.791,0.9
California (06-00000),"55,460",3.7,$63.91,"$132,940",0.9,$37.54,$47.99,$61.37,$77.31,$94.65,"$78,070","$99,810","$127,660","$160,800","$196,870",3.071,0.9
Colorado (08-00000),"7,130",10.5,$61.09,"$127,060",2.2,$38.00,$47.71,$59.62,$72.83,$83.92,"$79,040","$99,240","$124,010","$151,490","$174,550",2.467,0.8
Connecticut (09-00000),"6,050",4.1,$52.41,"$109,000",1.5,$32.83,$41.25,$50.89,$62.21,$73.44,"$68,290","$85,800","$105,860","$129,400","$152,760",3.599,1.1
Delaware (10-00000),"2,940",6.3,$53.19,"$110,640",3.4,$28.84,$38.08,$50.04,$65.03,$78.01,"$59,990","$79,200","$104,070","$135,250","$162,250",6.174,1.9
District of Columbia (11-00000),"1,590",17.0,$59.48,"$123,720",5.0,$41.53,$45.47,$54.86,$69.29,$77.71,"$86,390","$94,580","$114,110","$144,120","$161,640",2.239,0.7
Florida (12-00000),"35,660",4.4,$51.27,"$106,640",1.2,$29.31,$37.68,$48.45,$62.31,$76.00,"$60,970","$78,370","$100,770","$129,590","$158,080",3.631,1.1
