One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Information Security Analysts (SOC code 15-1212),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Alabama (01-00000),"3,290",8.0,$54.23,"$112,800",3.0,$29.34,$38.40,$53.42,$66.48,$79.39,"$61,020","$79,870","$111,110","$138,270","$165,120",1.572,1.4
Alaska (02-00000),210,31.1,$53.80,"$111,900",2.8,$40.87,$46.31,$49.12,$58.20,$76.89,"$85,010","$96,320","$102,170","$121,060","$159,930",0.646,0.6
Arizona (04-00000),"4,170",8.5,$59.51,"$123,780",3.9,$34.76,$42.56,$60.25,$77.52,$83.17,"$72,300","$88,520","$125,320","$161,250","$173,000",1.303,1.1
Arkansas (05-00000),"1,010",7.1,$46.19,"$96,080",2.0,$27.72,$32.11,$44.98,$60.36,$62.96,"$57,660","$66,800","$93,560","$125,550","$130,960",0.784,0.7
California (06-00000),"15,800",5.2,$73.38,"$152,640",1.6,$35.11,$50.56,$67.63,$85.62,$105.82,"$73,030","$105,150","$140,660","$178,090","$220,100",0.875,0.8
Colorado (08-00000),"5,840",5.5,$65.38,"$135,980",2.1,$39.00,$49.21,$62.78,$78.85,$94.92,"$81,120","$102,350","$130,570","$164,010","$197,440",2.020,1.7
Connecticut (09-00000),"1,160",15.0,$61.42,"$127,740",2.8,$40.77,$45.80,$62.74,$73.28,$81.51,"$84,800","$95,260","$130,500","$152,410","$169,550",0.689,0.6
Delaware (10-00000),630,6.3,$62.91,"$130,860",2.2,$38.34,$50.63,$64.45,$74.07,$79.61,"$79,750","$105,310","$134,050","$154,060","$165,600",1.314,1.1
District of Columbia (11-00000),"2,010",25.0,$63.84,"$132,790",3.6,$40.26,$52.73,$61.43,$72.56,$83.58,"$83,730","$109,680","$127,760","$150,920","$173,840",2.842,2.4
Florida (12-00000),"13,770",5.0,$56.49,"$117,500",1.7,$34.58,$41.47,$50.96,$66.90,$80.73,"$71,930","$86,250","$105,990","$139,150","$167,920",1.403,1.2
Georgia (13-00000),"6,480",4.7,$60.76,"$126,380",2.3,$35.38,$44.53,$59.75,$75.19,$82.63,"$73,590","$92,620","$124,270","$156,390","$171,860",1.335,1.1
Hawaii (15-00000),580,19.4,$61.69,"$128,310",6.0,$33.13,$47.95,$60.47,$74.20,$102.02,"$68,900","$99,730","$125,790","$154,340","$212,210",0.942,0.8
Idaho (16-00000),870,9.1,$70.14,"$145,880",12.9,$29.29,$42.30,$58.64,$75.51,$105.55,"$60,920","$87,980","$121,970","$157,060","$219,530",1.027,0.9
Illinois (17-00000),"4,560",4.9,$57.47,"$119,540",2.1,$34.07,$40.36,$54.95,$66.41,$81.50,"$70,870","$83,960","$114,300","$138,130","$169,520",0.751,0.6
Indiana (18-00000),"2,540",33.7,$44.11,"$91,740",7.5,$30.15,$31.01,$37.64,$55.60,$72.22,"$62,710","$64,500","$78,290","$115,650","$150,220",0.796,0.7
Iowa (19-00000),"1,180",9.5,$56.11,"$116,710",7.7,$31.98,$39.90,$54.30,$64.34,$83.60,"$66,520","$82,990","$112,950","$133,830","$173,890",0.757,0.6
Kansas (20-00000),"1,380",13.2,$48.48,"$100,850",5.2,$22.25,$34.60,$47.80,$62.06,$73.12,"$46,270","$71,960","$99,420","$129,080","$152,080",0.961,0.8
Kentucky (21-00000),"1,790",15.8,$49.43,"$102,820",3.2,$26.70,$32.52,$47.22,$61.98,$79.87,"$55,540","$67,650","$98,210","$128,910","$166,130",0.897,0.8
Louisiana (22-00000),580,9.8,$48.69,"$101,280",9.3,$30.47,$35.49,$42.41,$51.56,$63.66,"$63,370","$73,830","$88,200","$107,250","$132,410",0.303,0.3
Maine (23-00000),270,16.4,$47.80,"$99,420",6.0,$29.13,$35.53,$45.05,$62.29,$65.87,"$60,590","$73,890","$93,710","$129,560","$137,000",0.424,0.4
Maryland (24-00000),"8,770",9.4,$69.93,"$145,450",3.8,$38.51,$50.59,$67.54,$84.32,$99.51,"$80,100","$105,230","$140,480","$175,390","$206,980",3.194,2.7
Massachusetts (25-00000),"5,780",12.0,$62.19,"$129,350",2.2,$38.12,$48.91,$61.35,$77.86,$85.97,"$79,290","$101,730","$127,610","$161,940","$178,810",1.586,1.4
Michigan (26-00000),"3,120",7.4,$51.75,"$107,630",3.4,$29.48,$38.42,$50.26,$62.09,$78.89,"$61,310","$79,920","$104,540","$129,150","$164,100",0.711,0.6
