One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Operations Research Analysts (SOC code 15-2031),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Alabama (01-00000),500,2.7,$56.91,"$118,370",0.7,$29.97,$43.47,$56.51,$70.62,$82.59,"$62,340","$90,420","$117,540","$146,890","$171,790",0.241,0.3
Alaska (02-00000),60,8.9,$49.44,"$102,840",0.9,$36.57,$42.75,$48.06,$53.19,$60.71,"$76,060","$88,930","$99,960","$110,640","$126,270",0.190,0.3
Arizona (04-00000),"2,170",12.0,$41.59,"$86,510",3.8,$24.41,$31.01,$40.14,$49.04,$61.48,"$50,760","$64,510","$83,500","$102,000","$127,880",0.678,1.0
Arkansas (05-00000),140,21.9,$36.38,"$75,670",5.8,$23.43,$26.31,$36.37,$43.21,$47.21,"$48,720","$54,720","$75,650","$89,870","$98,200",0.109,0.2
California (06-00000),"11,030",4.5,$52.03,"$108,220",1.1,$30.67,$36.80,$46.60,$61.40,$80.37,"$63,790","$76,540","$96,920","$127,710","$167,170",0.611,0.9
Colorado (08-00000),910,9.6,$52.58,"$109,360",3.8,$29.49,$36.24,$50.27,$66.67,$79.12,"$61,350","$75,370","$104,560","$138,680","$164,580",0.315,0.4
Connecticut (09-00000),"1,020",11.7,$46.50,"$96,720",3.1,$29.96,$37.17,$47.70,$54.85,$61.68,"$62,310","$77,310","$99,210","$114,090","$128,290",0.605,0.9
Delaware (10-00000),600,4.0,$49.70,"$103,380",1.0,$29.09,$35.81,$48.66,$61.86,$69.85,"$60,510","$74,480","$101,210","$128,670","$145,290",1.254,1.8
District of Columbia (11-00000),"2,190",13.4,$59.56,"$123,890",4.8,$30.04,$37.25,$55.76,$80.42,$94.79,"$62,490","$77,470","$115,980","$167,270","$197,160",3.092,4.4
Florida (12-00000),"8,230",3.7,$40.59,"$84,420",1.6,$21.60,$28.05,$37.34,$49.28,$62.19,"$44,930","$58,340","$77,670","$102,500","$129,360",0.838,1.2
Georgia (13-00000),"4,450",5.2,$39.21,"$81,560",1.7,$23.68,$27.88,$35.53,$48.56,$63.23,"$49,250","$57,980","$73,890","$101,000","$131,530",0.915,1.3
Hawaii (15-00000),110,18.2,$48.12,"$100,090",3.9,$28.76,$32.75,$46.94,$59.56,$75.05,"$59,810","$68,120","$97,630","$123,880","$156,100",0.185,0.3
Idaho (16-00000),500,8.1,$41.36,"$86,030",2.3,$23.55,$28.77,$37.24,$48.32,$70.65,"$48,980","$59,840","$77,460","$100,500","$146,960",0.591,0.9
Illinois (17-00000),"5,020",11.4,$53.00,"$110,230",5.9,$29.56,$37.28,$49.40,$62.57,$79.87,"$61,480","$77,540","$102,750","$130,140","$166,130",0.828,1.2
