One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Survey Researchers (SOC code 19-3022),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Alaska (02-00000),40,1.2,$31.36,"$65,240",0.4,$28.12,$28.12,$30.12,$32.38,$39.15,"$58,480","$58,480","$62,640","$67,340","$81,440",0.117,2.3
Arizona (04-00000),(8) -,(8) -,$27.67,"$57,550",10.1,$23.34,$25.10,$28.11,$28.13,$30.01,"$48,550","$52,210","$58,460","$58,510","$62,420",(8) -,(8) -
California (06-00000),"1,090",10.4,$41.80,"$86,950",4.8,$21.49,$30.43,$37.10,$48.19,$62.08,"$44,700","$63,290","$77,180","$100,240","$129,120",0.060,1.2
Colorado (08-00000),(8) -,(8) -,$40.31,"$83,840",10.4,$25.52,$31.76,$36.20,$49.63,$50.05,"$53,090","$66,060","$75,290","$103,220","$104,110",(8) -,(8) -
Connecticut (09-00000),130,25.0,$35.32,"$73,460",6.6,$25.87,$28.16,$31.84,$39.98,$48.36,"$53,800","$58,580","$66,220","$83,150","$100,580",0.077,1.5
District of Columbia (11-00000),140,14.8,$58.89,"$122,480",2.6,$37.11,$37.12,$46.48,$78.95,$98.51,"$77,180","$77,210","$96,670","$164,220","$204,900",0.204,4.1
Georgia (13-00000),830,10.2,$28.62,"$59,540",12.4,$19.00,$19.00,$23.46,$30.47,$41.41,"$39,520","$39,520","$48,800","$63,380","$86,140",0.171,3.4
Illinois (17-00000),250,21.9,$45.78,"$95,220",11.6,$18.89,$20.89,$44.48,$61.59,$79.87,"$39,300","$43,440","$92,520","$128,110","$166,130",0.041,0.8
Iowa (19-00000),180,38.5,$34.23,"$71,200",10.4,$21.19,$29.57,$37.42,$38.15,$40.95,"$44,080","$61,500","$77,830","$79,350","$85,180",0.118,2.3
Kansas (20-00000),180,6.6,$27.83,"$57,880",1.8,$17.64,$22.72,$29.03,$31.43,$36.90,"$36,690","$47,260","$60,380","$65,370","$76,750",0.124,2.5
Maine (23-00000),80,30.2,$21.90,"$45,550",12.4,$16.26,$16.26,$20.65,$22.47,$33.30,"$33,810","$33,810","$42,960","$46,740","$69,260",0.120,2.4
Maryland (24-00000),420,15.8,$47.19,"$98,160",4.6,$25.81,$36.87,$43.36,$61.72,$61.72,"$53,680","$76,680","$90,190","$128,380","$128,380",0.154,3.1
Michigan (26-00000),90,28.2,$38.28,"$79,620",13.1,$19.40,$22.26,$30.31,$41.06,$81.14,"$40,360","$46,300","$63,040","$85,410","$168,760",0.021,0.4
Minnesota (27-00000),(8) -,(8) -,$41.37,"$86,040",21.7,$24.40,$28.87,$45.99,$47.70,$57.08,"$50,760","$60,040","$95,650","$99,220","$118,730",(8) -,(8) -
Missouri (29-00000),210,40.9,$28.46,"$59,210",21.0,$13.28,$17.51,$24.85,$36.70,$45.51,"$27,620","$36,410","$51,680","$76,340","$94,650",0.071,1.4
Nebraska (31-00000),230,8.5,$29.16,"$60,650",1.4,$18.37,$23.16,$29.79,$36.85,$37.84,"$38,210","$48,170","$61,960","$76,640","$78,710",0.222,4.4
New Jersey (34-00000),110,40.5,$58.13,"$120,900",11.1,$38.40,$39.39,$49.23,$61.00,$98.68,"$79,870","$81,940","$102,410","$126,870","$205,260",0.026,0.5
New Mexico (35-00000),120,5.4,$29.38,"$61,100",0.5,$23.91,$27.16,$28.34,$32.43,$35.26,"$49,740","$56,490","$58,950","$67,450","$73,340",0.143,2.9
New York (36-00000),370,17.7,$40.55,"$84,340",4.1,$20.58,$28.04,$39.69,$50.45,$59.66,"$42,810","$58,320","$82,550","$104,930","$124,100",0.039,0.8
North Carolina (37-00000),260,20.8,$42.36,"$88,110",7.6,$24.56,$30.29,$37.01,$49.20,$68.67,"$51,080","$63,000","$76,990","$102,340","$142,830",0.054,1.1
Ohio (39-00000),(8) -,(8) -,$36.24,"$75,380",16.6,$18.76,$26.92,$36.25,$44.72,$46.47,"$39,030","$56,000","$75,400","$93,010","$96,660",(8) -,(8) -
Oklahoma (40-00000),50,42.2,$27.57,"$57,350",9.2,$18.20,$21.84,$24.95,$30.75,$42.89,"$37,850","$45,430","$51,900","$63,960","$89,210",0.032,0.6
Oregon (41-00000),90,34.5,$39.31,"$81,760",5.0,$29.34,$30.93,$39.57,$48.86,$48.86,"$61,020","$64,340","$82,300","$101,640","$101,640",0.048,1.0
Pennsylvania (42-00000),130,49.8,$28.76,"$59,830",9.0,$12.85,$24.08,$29.38,$35.34,$38.27,"$26,740","$50,080","$61,100","$73,510","$79,590",0.021,0.4
Tennessee (47-00000),160,43.3,$24.70,"$51,380",7.6,$13.67,$21.93,$26.90,$27.85,$30.16,"$28,430","$45,610","$55,950","$57,920","$62,740",0.050,1.0
Texas (48-00000),810,22.6,$21.77,"$45,280",8.0,$12.09,$17.08,$17.77,$22.23,$39.61,"$25,150","$35,520","$36,950","$46,240","$82,390",0.058,1.2
Utah (49-00000),40,42.6,$26.83,"$55,810",5.6,$18.02,$22.41,$24.11,$29.11,$36.89,"$37,470","$46,600","$50,150","$60,540","$76,720",0.026,0.5
Vermont (50-00000),50,31.6,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,0.159,3.2
Virginia (51-00000),130,48.7,$30.75,"$63,970",20.0,$18.52,$19.35,$26.23,$43.22,$47.90,"$38,510","$40,250","$54,550","$89,890","$99,640",0.032,0.6
Washington (53-00000),160,21.9,$30.60,"$63,650",5.1,$22.16,$22.43,$30.85,$35.90,$44.07,"$46,100","$46,650","$64,160","$74,670","$91,670",0.046,0.9
Wisconsin (55-00000),50,28.2,$41.79,"$86,920",5.4,$23.02,$30.38,$36.09,$52.65,$74.65,"$47,890","$63,180","$75,070","$109,520","$155,270",0.016,0.3
Wyoming (56-00000),40,9.5,$35.46,"$73,750",3.0,$24.63,$30.24,$30.24,$38.82,$49.83,"$51,220","$62,910","$62,910","$80,740","$103,650",0.148,3.0
Footnotes:,,,,,,,,,,,,,,,,,
(1) Estimates for detailed occupations do not sum to the totals because the totals include occupations not shown separately. Estimates do not include self-employed workers.,,,,,,,,,,,,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,,,,,,,,,,,,
"(3) The relative standard error (RSE) is a measure of the reliability of a survey statistic. The smaller the relative standard error, the more precise the estimate.",,,,,,,,,,,,,,,,,
(8) Estimate not released.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Data extracted on November 05, 2025",,,,,,,,,,,,,,,,,
