One occupation for multiple geographical areas,,,,,,
,,,,,,
Occupation: Database Administrators (SOC code 15-1242),,,,,,
Period: May 2024,,,,,,
,,,,,,
Area Name,Annual mean wage (2),,,,,
Alabama (01-00000),"$92,930",,,,,
Alaska (02-00000),"$96,600",,,,,
Arizona (04-00000),"$97,340",,,,,
Arkansas (05-00000),"$82,780",,,,,
California (06-00000),"$119,060",,,,,
Colorado (08-00000),"$115,970",,,,,
Connecticut (09-00000),"$103,400",,,,,
Delaware (10-00000),"$105,850",,,,,
District of Columbia (11-00000),"$120,470",,,,,
Florida (12-00000),"$102,900",,,,,
Georgia (13-00000),"$105,590",,,,,
Hawaii (15-00000),"$97,380",,,,,
Idaho (16-00000),"$88,440",,,,,
Illinois (17-00000),"$107,750",,,,,
Indiana (18-00000),"$85,480",,,,,
Iowa (19-00000),"$101,500",,,,,
Kansas (20-00000),"$118,250",,,,,
Kentucky (21-00000),"$86,490",,,,,
Louisiana (22-00000),"$89,230",,,,,
Maine (23-00000),"$82,210",,,,,
Maryland (24-00000),"$124,430",,,,,
Massachusetts (25-00000),"$112,090",,,,,
Michigan (26-00000),"$97,660",,,,,
Minnesota (27-00000),"$101,010",,,,,
Mississippi (28-00000),"$84,830",,,,,
Missouri (29-00000),"$94,990",,,,,
Montana (30-00000),"$83,070",,,,,
Nebraska (31-00000),"$96,080",,,,,
Nevada (32-00000),"$87,960",,,,,
New Hampshire (33-00000),"$109,190",,,,,
New Jersey (34-00000),"$126,670",,,,,
New Mexico (35-00000),"$94,480",,,,,
New York (36-00000),"$113,070",,,,,
North Carolina (37-00000),"$106,140",,,,,
North Dakota (38-00000),"$85,950",,,,,
Ohio (39-00000),"$96,400",,,,,
Oklahoma (40-00000),"$87,430",,,,,
Oregon (41-00000),"$105,050",,,,,
Pennsylvania (42-00000),"$105,100",,,,,
Puerto Rico (72-00000),"$57,950",,,,,
Rhode Island (44-00000),"$104,100",,,,,
South Carolina (45-00000),"$99,890",,,,,
South Dakota (46-00000),"$87,610",,,,,
Tennessee (47-00000),"$100,650",,,,,
Texas (48-00000),"$109,330",,,,,
Utah (49-00000),"$105,050",,,,,
Vermont (50-00000),"$99,980",,,,,
Virginia (51-00000),"$113,810",,,,,
Washington (53-00000),"$118,000",,,,,
West Virginia (54-00000),"$73,530",,,,,
Wisconsin (55-00000),"$104,550",,,,,
Wyoming (56-00000),"$73,300",,,,,
Footnotes:,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,
,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,
,,,,,,
"Data extracted on November 05, 2025",,,,,,
