One occupation for multiple geographical areas,,,,,,
,,,,,,
Occupation: Statisticians (SOC code 15-2041),,,,,,
Period: May 2024,,,,,,
,,,,,,
Area Name,Annual mean wage (2),,,,,
Alabama (01-00000),"$76,870",,,,,
Alaska (02-00000),"$90,500",,,,,
Arizona (04-00000),"$102,090",,,,,
California (06-00000),"$130,530",,,,,
Colorado (08-00000),"$105,110",,,,,
Connecticut (09-00000),"$100,840",,,,,
Delaware (10-00000),"$124,240",,,,,
District of Columbia (11-00000),"$132,570",,,,,
Florida (12-00000),"$116,860",,,,,
Georgia (13-00000),"$114,320",,,,,
Hawaii (15-00000),"$84,230",,,,,
Illinois (17-00000),"$121,380",,,,,
Indiana (18-00000),"$110,060",,,,,
Iowa (19-00000),"$90,270",,,,,
Kansas (20-00000),"$101,930",,,,,
Kentucky (21-00000),"$107,160",,,,,
Louisiana (22-00000),"$78,310",,,,,
Maine (23-00000),"$85,590",,,,,
Maryland (24-00000),"$127,740",,,,,
Massachusetts (25-00000),"$108,850",,,,,
Michigan (26-00000),"$104,340",,,,,
Minnesota (27-00000),"$90,810",,,,,
Mississippi (28-00000),"$65,930",,,,,
Missouri (29-00000),"$76,080",,,,,
Montana (30-00000),"$86,570",,,,,
Nebraska (31-00000),"$86,080",,,,,
Nevada (32-00000),"$85,630",,,,,
New Hampshire (33-00000),"$123,280",,,,,
New Jersey (34-00000),"$114,700",,,,,
New Mexico (35-00000),"$76,930",,,,,
New York (36-00000),"$147,470",,,,,
North Carolina (37-00000),"$128,280",,,,,
North Dakota (38-00000),"$81,580",,,,,
Ohio (39-00000),"$91,090",,,,,
Oklahoma (40-00000),"$94,520",,,,,
Oregon (41-00000),"$94,920",,,,,
Pennsylvania (42-00000),"$99,020",,,,,
Puerto Rico (72-00000),"$49,310",,,,,
Rhode Island (44-00000),"$91,650",,,,,
South Carolina (45-00000),"$70,160",,,,,
Tennessee (47-00000),"$92,460",,,,,
Texas (48-00000),"$110,910",,,,,
Utah (49-00000),"$96,070",,,,,
Vermont (50-00000),"$79,450",,,,,
Virginia (51-00000),"$111,760",,,,,
Washington (53-00000),"$112,000",,,,,
West Virginia (54-00000),"$84,450",,,,,
Wisconsin (55-00000),"$96,200",,,,,
Footnotes:,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,
,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,
,,,,,,
"Data extracted on November 05, 2025",,,,,,
