One occupation for multiple geographical areas,,,,,,
,,,,,,
Occupation: Market Research Analysts and Marketing Specialists (SOC code 13-1161),,,,,,
Period: May 2024,,,,,,
,,,,,,
Area Name,Annual mean wage (2),,,,,
Alabama (01-00000),"$66,840",,,,,
Alaska (02-00000),"$68,720",,,,,
Arizona (04-00000),"$75,390",,,,,
Arkansas (05-00000),"$75,160",,,,,
California (06-00000),"$106,780",,,,,
Colorado (08-00000),"$93,310",,,,,
Connecticut (09-00000),"$80,340",,,,,
Delaware (10-00000),"$101,290",,,,,
District of Columbia (11-00000),"$99,870",,,,,
Florida (12-00000),"$82,650",,,,,
Georgia (13-00000),"$83,680",,,,,
Guam (66-00000),"$47,230",,,,,
Hawaii (15-00000),"$69,170",,,,,
Idaho (16-00000),"$64,940",,,,,
Illinois (17-00000),"$80,300",,,,,
Indiana (18-00000),"$71,760",,,,,
Iowa (19-00000),"$75,600",,,,,
Kansas (20-00000),"$71,410",,,,,
Kentucky (21-00000),"$66,330",,,,,
Louisiana (22-00000),"$64,300",,,,,
Maine (23-00000),"$74,730",,,,,
Maryland (24-00000),"$80,360",,,,,
Massachusetts (25-00000),"$99,910",,,,,
Michigan (26-00000),"$76,170",,,,,
Minnesota (27-00000),"$89,940",,,,,
Mississippi (28-00000),"$56,680",,,,,
Missouri (29-00000),"$73,810",,,,,
Montana (30-00000),"$72,630",,,,,
Nebraska (31-00000),"$63,610",,,,,
Nevada (32-00000),"$72,790",,,,,
New Hampshire (33-00000),"$74,520",,,,,
New Jersey (34-00000),"$93,780",,,,,
New Mexico (35-00000),"$63,880",,,,,
New York (36-00000),"$99,650",,,,,
North Carolina (37-00000),"$85,760",,,,,
North Dakota (38-00000),"$66,990",,,,,
Ohio (39-00000),"$76,460",,,,,
Oklahoma (40-00000),"$69,770",,,,,
Oregon (41-00000),"$92,370",,,,,
Pennsylvania (42-00000),"$74,340",,,,,
Puerto Rico (72-00000),"$43,240",,,,,
Rhode Island (44-00000),"$80,100",,,,,
South Carolina (45-00000),"$78,210",,,,,
South Dakota (46-00000),"$69,160",,,,,
Tennessee (47-00000),"$73,380",,,,,
Texas (48-00000),"$75,210",,,,,
Utah (49-00000),"$72,230",,,,,
Vermont (50-00000),"$76,980",,,,,
Virgin Islands (78-00000),"$49,790",,,,,
Virginia (51-00000),"$91,410",,,,,
Washington (53-00000),"$105,800",,,,,
West Virginia (54-00000),"$57,730",,,,,
Wisconsin (55-00000),"$72,680",,,,,
Wyoming (56-00000),"$61,490",,,,,
Footnotes:,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,
,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,
,,,,,,
"Data extracted on November 05, 2025",,,,,,
