One occupation for multiple geographical areas,,,,,,
,,,,,,
Occupation: Computer Systems Analysts (SOC code 15-1211),,,,,,
Period: May 2024,,,,,,
,,,,,,
Area Name,Annual mean wage (2),,,,,
Alabama (01-00000),"$112,430",,,,,
Alaska (02-00000),"$91,780",,,,,
Arizona (04-00000),"$106,930",,,,,
Arkansas (05-00000),"$70,300",,,,,
California (06-00000),"$132,940",,,,,
Colorado (08-00000),"$127,060",,,,,
Connecticut (09-00000),"$109,000",,,,,
Delaware (10-00000),"$110,640",,,,,
District of Columbia (11-00000),"$123,720",,,,,
Florida (12-00000),"$106,640",,,,,
Georgia (13-00000),"$106,610",,,,,
Hawaii (15-00000),"$92,210",,,,,
Idaho (16-00000),"$76,030",,,,,
Illinois (17-00000),"$96,560",,,,,
Indiana (18-00000),"$100,990",,,,,
Iowa (19-00000),"$93,330",,,,,
Kansas (20-00000),"$102,220",,,,,
Kentucky (21-00000),"$89,100",,,,,
Louisiana (22-00000),"$95,520",,,,,
Maine (23-00000),"$104,400",,,,,
Maryland (24-00000),"$115,010",,,,,
Massachusetts (25-00000),"$126,190",,,,,
Michigan (26-00000),"$102,420",,,,,
Minnesota (27-00000),"$111,350",,,,,
Mississippi (28-00000),"$84,670",,,,,
Missouri (29-00000),"$94,680",,,,,
Montana (30-00000),"$100,840",,,,,
Nebraska (31-00000),"$94,930",,,,,
Nevada (32-00000),"$100,960",,,,,
New Hampshire (33-00000),"$109,600",,,,,
New Jersey (34-00000),"$124,650",,,,,
New Mexico (35-00000),"$96,720",,,,,
New York (36-00000),"$115,250",,,,,
North Carolina (37-00000),"$112,060",,,,,
North Dakota (38-00000),"$102,340",,,,,
Ohio (39-00000),"$102,700",,,,,
Oklahoma (40-00000),"$104,880",,,,,
Oregon (41-00000),"$120,860",,,,,
Pennsylvania (42-00000),"$99,590",,,,,
Puerto Rico (72-00000),"$61,920",,,,,
Rhode Island (44-00000),"$120,290",,,,,
South Carolina (45-00000),"$98,600",,,,,
South Dakota (46-00000),"$102,040",,,,,
Tennessee (47-00000),"$89,960",,,,,
Texas (48-00000),"$114,350",,,,,
Utah (49-00000),"$96,380",,,,,
Vermont (50-00000),"$104,440",,,,,
Virgin Islands (78-00000),"$65,530",,,,,
Virginia (51-00000),"$120,880",,,,,
Washington (53-00000),"$133,710",,,,,
West Virginia (54-00000),"$99,150",,,,,
Wisconsin (55-00000),"$99,490",,,,,
Wyoming (56-00000),"$95,560",,,,,
Footnotes:,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,
,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,
,,,,,,
"Data extracted on November 05, 2025",,,,,,
