One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Data Scientists (SOC code 15-2051),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Alabama (01-00000),"1,620",18.8,$49.51,"$102,970",4.0,$29.72,$36.63,$50.68,$61.66,$71.14,"$61,810","$76,180","$105,410","$128,250","$147,980",0.773,0.5
Alaska (02-00000),210,9.9,$42.64,"$88,690",3.7,$22.92,$26.94,$37.21,$56.00,$64.98,"$47,670","$56,020","$77,400","$116,470","$135,160",0.651,0.4
Arizona (04-00000),"4,080",14.1,$54.07,"$112,460",2.8,$32.17,$39.02,$51.00,$64.67,$79.39,"$66,910","$81,170","$106,080","$134,510","$165,120",1.275,0.8
Arkansas (05-00000),470,30.0,$50.27,"$104,560",6.0,$27.80,$39.60,$50.15,$60.28,$78.90,"$57,830","$82,370","$104,320","$125,390","$164,120",0.366,0.2
California (06-00000),"36,850",3.2,$74.74,"$155,450",3.2,$35.29,$47.34,$65.77,$85.33,$106.29,"$73,390","$98,460","$136,800","$177,480","$221,080",2.041,1.4
Colorado (08-00000),"6,750",7.0,$56.85,"$118,250",3.1,$32.37,$41.62,$51.20,$63.89,$82.70,"$67,330","$86,560","$106,500","$132,890","$172,010",2.334,1.5
Connecticut (09-00000),"1,630",9.9,$57.82,"$120,270",2.2,$31.36,$45.75,$52.87,$67.66,$86.97,"$65,220","$95,160","$109,960","$140,740","$180,890",0.972,0.6
Delaware (10-00000),540,8.5,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,1.129,0.8
District of Columbia (11-00000),"3,580",13.4,$71.24,"$148,170",5.1,$39.52,$49.25,$65.92,$100.29,$100.29,"$82,210","$102,440","$137,120","$208,600","$208,600",5.047,3.3
Florida (12-00000),"9,480",6.4,$56.57,"$117,670",2.6,$28.58,$38.29,$50.88,$65.16,$93.04,"$59,440","$79,650","$105,820","$135,530","$193,530",0.965,0.6
Georgia (13-00000),"7,730",4.5,$53.38,"$111,020",1.2,$30.44,$38.90,$49.34,$64.15,$79.80,"$63,320","$80,920","$102,630","$133,430","$165,980",1.591,1.0
Hawaii (15-00000),240,16.2,$59.87,"$124,530",6.1,$40.00,$42.95,$59.56,$75.26,$82.76,"$83,200","$89,340","$123,880","$156,540","$172,150",0.383,0.3
Idaho (16-00000),980,10.2,$57.89,"$120,410",5.5,$32.47,$37.96,$52.57,$70.03,$94.74,"$67,550","$78,960","$109,340","$145,670","$197,050",1.157,0.8
Illinois (17-00000),"7,390",6.4,$57.22,"$119,010",1.4,$31.45,$39.43,$54.56,$70.74,$82.80,"$65,420","$82,010","$113,490","$147,130","$172,220",1.218,0.8
Indiana (18-00000),"3,120",6.1,$44.53,"$92,620",3.8,$24.93,$32.12,$40.41,$53.26,$64.71,"$51,860","$66,800","$84,050","$110,770","$134,600",0.979,0.6
Iowa (19-00000),"2,330",5.2,$46.78,"$97,300",2.2,$26.58,$33.13,$47.10,$60.73,$67.61,"$55,290","$68,910","$97,980","$126,310","$140,620",1.490,1.0
Kansas (20-00000),340,19.1,$51.59,"$107,300",8.5,$22.09,$39.96,$53.04,$63.52,$71.56,"$45,940","$83,120","$110,320","$132,130","$148,850",0.237,0.2
Kentucky (21-00000),"1,700",12.4,$48.28,"$100,410",4.2,$27.95,$35.63,$44.95,$59.21,$77.15,"$58,130","$74,110","$93,490","$123,150","$160,460",0.852,0.6
Louisiana (22-00000),"1,120",9.5,$34.49,"$71,740",3.1,$24.00,$26.96,$33.91,$38.91,$44.84,"$49,920","$56,070","$70,530","$80,940","$93,260",0.585,0.4
Maine (23-00000),"1,040",15.0,$48.99,"$101,890",5.8,$27.94,$36.55,$45.36,$61.17,$68.44,"$58,120","$76,020","$94,350","$127,230","$142,350",1.641,1.1
Maryland (24-00000),"3,400",10.3,$65.08,"$135,370",5.0,$37.13,$47.04,$59.78,$77.39,$95.68,"$77,230","$97,850","$124,340","$160,980","$199,020",1.239,0.8
Massachusetts (25-00000),"9,990",7.5,$67.15,"$139,670",1.9,$38.82,$49.58,$63.58,$80.63,$96.53,"$80,740","$103,130","$132,250","$167,710","$200,770",2.743,1.8
Michigan (26-00000),"6,450",4.1,$49.05,"$102,030",1.9,$28.78,$37.70,$47.82,$59.65,$70.25,"$59,860","$78,410","$99,470","$124,070","$146,120",1.470,1.0
Minnesota (27-00000),"3,500",7.2,$56.79,"$118,110",3.2,$28.34,$40.87,$56.65,$69.33,$82.34,"$58,940","$85,000","$117,840","$144,200","$171,260",1.199,0.8
Mississippi (28-00000),270,9.6,$37.42,"$77,830",3.5,$20.65,$25.95,$33.38,$46.71,$53.85,"$42,950","$53,980","$69,430","$97,150","$112,010",0.232,0.2
Missouri (29-00000),"4,350",13.9,$45.82,"$95,310",3.8,$24.87,$29.77,$41.14,$59.22,$73.38,"$51,720","$61,910","$85,570","$123,180","$152,630",1.491,1.0
Montana (30-00000),200,18.5,$53.60,"$111,490",5.2,$36.36,$43.72,$51.37,$55.11,$78.11,"$75,620","$90,930","$106,860","$114,620","$162,470",0.394,0.3
Nebraska (31-00000),"1,850",9.5,$46.98,"$97,720",0.9,$32.34,$39.14,$46.38,$52.38,$62.82,"$67,270","$81,400","$96,470","$108,940","$130,670",1.817,1.2
Nevada (32-00000),"1,230",8.1,$47.51,"$98,820",2.9,$25.80,$32.46,$44.86,$58.75,$72.01,"$53,670","$67,520","$93,310","$122,200","$149,780",0.802,0.5
New Hampshire (33-00000),870,9.0,$49.15,"$102,230",2.2,$30.97,$37.76,$47.58,$59.87,$70.07,"$64,410","$78,550","$98,970","$124,520","$145,740",1.278,0.8
New Jersey (34-00000),"5,860",7.5,$63.36,"$131,800",2.1,$35.95,$47.22,$62.68,$77.80,$88.71,"$74,780","$98,220","$130,370","$161,830","$184,520",1.379,0.9
New Mexico (35-00000),510,16.6,$41.60,"$86,520",4.2,$21.56,$29.96,$40.88,$50.14,$60.21,"$44,840","$62,310","$85,040","$104,290","$125,230",0.589,0.4
New York (36-00000),"20,070",4.3,$64.16,"$133,450",2.7,$31.32,$40.29,$60.29,$80.71,$101.86,"$65,150","$83,800","$125,400","$167,880","$211,860",2.103,1.4
North Carolina (37-00000),"10,140",7.9,$56.74,"$118,020",4.0,$28.00,$38.58,$55.47,$70.60,$83.26,"$58,240","$80,240","$115,380","$146,850","$173,170",2.071,1.4
North Dakota (38-00000),320,20.4,$45.25,"$94,130",5.6,$27.91,$35.91,$46.26,$57.82,$59.29,"$58,050","$74,690","$96,230","$120,270","$123,310",0.747,0.5
Ohio (39-00000),"5,510",3.8,$48.20,"$100,260",2.2,$25.73,$34.45,$47.41,$60.80,$73.11,"$53,510","$71,660","$98,620","$126,470","$152,070",0.996,0.7
Oklahoma (40-00000),"2,160",8.4,$43.24,"$89,940",3.8,$26.41,$31.97,$38.64,$51.69,$70.28,"$54,930","$66,500","$80,380","$107,520","$146,190",1.276,0.8
Oregon (41-00000),"2,650",15.5,$59.65,"$124,060",3.6,$33.93,$45.24,$51.01,$74.15,$92.38,"$70,570","$94,100","$106,100","$154,240","$192,150",1.349,0.9
Pennsylvania (42-00000),"10,430",5.0,$51.66,"$107,450",1.2,$29.42,$36.64,$48.23,$62.30,$79.50,"$61,190","$76,220","$100,320","$129,590","$165,360",1.734,1.1
Puerto Rico (72-00000),120,13.3,$34.79,"$72,370",2.8,$19.76,$28.84,$33.98,$41.06,$45.37,"$41,110","$59,990","$70,690","$85,400","$94,380",0.122,0.1
Rhode Island (44-00000),"1,190",14.9,$57.41,"$119,400",4.7,$33.65,$42.36,$54.99,$68.61,$87.24,"$69,990","$88,100","$114,390","$142,710","$181,460",2.412,1.6
South Carolina (45-00000),"2,810",15.3,$46.62,"$96,970",4.8,$27.42,$35.12,$43.59,$52.22,$72.37,"$57,030","$73,050","$90,660","$108,610","$150,520",1.239,0.8
South Dakota (46-00000),270,12.7,$44.45,"$92,460",1.8,$29.92,$37.79,$44.23,$52.86,$56.67,"$62,240","$78,590","$92,000","$109,940","$117,880",0.586,0.4
Tennessee (47-00000),"2,550",9.1,$55.21,"$114,830",4.5,$29.79,$39.45,$50.34,$66.29,$91.35,"$61,960","$82,060","$104,700","$137,880","$190,000",0.778,0.5
Texas (48-00000),"23,420",4.9,$55.19,"$114,800",1.4,$29.44,$39.01,$51.22,$66.15,$81.40,"$61,230","$81,140","$106,540","$137,590","$169,310",1.691,1.1
Utah (49-00000),"4,830",8.0,$57.52,"$119,640",3.4,$27.75,$37.90,$55.97,$81.73,$83.35,"$57,720","$78,840","$116,420","$170,000","$173,370",2.827,1.9
Vermont (50-00000),210,37.3,$57.51,"$119,630",4.3,$35.70,$39.95,$58.01,$69.97,$75.85,"$74,260","$83,090","$120,670","$145,530","$157,760",0.698,0.5
Virginia (51-00000),"6,200",3.8,$63.57,"$132,230",1.3,$37.78,$45.49,$60.61,$79.51,$94.92,"$78,570","$94,630","$126,070","$165,370","$197,430",1.525,1.0
