One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Database Administrators (SOC code 15-1242),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Alabama (01-00000),"1,990",10.0,$44.68,"$92,930",1.9,$27.22,$34.70,$42.58,$54.76,$63.54,"$56,610","$72,170","$88,560","$113,890","$132,170",0.953,2.0
Alaska (02-00000),90,11.0,$46.44,"$96,600",4.3,$30.86,$35.88,$44.80,$52.22,$66.90,"$64,180","$74,630","$93,180","$108,620","$139,160",0.268,0.6
Arizona (04-00000),"1,330",10.4,$46.80,"$97,340",1.9,$24.64,$34.75,$46.31,$56.91,$70.30,"$51,240","$72,270","$96,320","$118,370","$146,220",0.415,0.9
Arkansas (05-00000),600,9.6,$39.80,"$82,780",4.0,$18.34,$23.81,$38.32,$48.97,$69.91,"$38,150","$49,530","$79,710","$101,850","$145,410",0.462,1.0
California (06-00000),"8,360",6.0,$57.24,"$119,060",1.7,$30.38,$40.67,$53.41,$71.64,$84.59,"$63,190","$84,590","$111,090","$149,010","$175,950",0.463,1.0
Colorado (08-00000),"1,400",12.6,$55.75,"$115,970",4.1,$30.10,$38.86,$57.67,$68.39,$79.52,"$62,610","$80,830","$119,940","$142,250","$165,390",0.484,1.0
Connecticut (09-00000),770,5.9,$49.71,"$103,400",2.5,$27.76,$35.60,$49.03,$62.97,$73.52,"$57,740","$74,040","$101,990","$130,970","$152,920",0.457,1.0
Delaware (10-00000),730,6.2,$50.89,"$105,850",2.4,$30.44,$38.23,$48.19,$62.68,$77.98,"$63,310","$79,510","$100,240","$130,370","$162,200",1.534,3.2
District of Columbia (11-00000),550,16.9,$57.92,"$120,470",6.2,$33.27,$44.44,$61.75,$71.10,$74.33,"$69,200","$92,440","$128,440","$147,890","$154,610",0.774,1.6
Florida (12-00000),"4,080",5.0,$49.47,"$102,900",2.2,$24.70,$31.39,$47.07,$63.52,$76.37,"$51,370","$65,300","$97,900","$132,120","$158,860",0.416,0.9
