One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Database Architects (SOC code 15-1243),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Alabama (01-00000),310,33.6,$56.50,"$117,510",3.5,$35.78,$42.89,$53.52,$64.70,$83.89,"$74,410","$89,210","$111,330","$134,580","$174,490",0.147,0.3
Alaska (02-00000),40,26.0,$53.64,"$111,570",6.8,$31.86,$38.81,$54.71,$60.71,$84.04,"$66,260","$80,720","$113,800","$126,270","$174,800",0.129,0.3
Arizona (04-00000),850,6.0,$64.94,"$135,080",2.1,$37.98,$50.19,$62.80,$78.12,$87.76,"$79,010","$104,390","$130,620","$162,490","$182,540",0.267,0.6
Arkansas (05-00000),330,9.2,$52.59,"$109,380",2.4,$30.97,$39.66,$48.56,$61.48,$78.91,"$64,420","$82,490","$101,000","$127,880","$164,140",0.258,0.6
California (06-00000),"5,850",7.1,$78.28,"$162,820",4.5,$42.83,$60.09,$76.51,$90.51,$108.82,"$89,080","$124,990","$159,130","$188,260","$226,340",0.324,0.8
Colorado (08-00000),"2,140",17.9,$73.53,"$152,940",2.9,$46.74,$60.33,$72.82,$86.01,$107.64,"$97,210","$125,490","$151,460","$178,900","$223,890",0.740,1.8
Connecticut (09-00000),700,7.0,$71.11,"$147,910",2.5,$50.73,$58.82,$70.87,$79.85,$93.78,"$105,510","$122,340","$147,400","$166,090","$195,060",0.414,1.0
Delaware (10-00000),(8) -,(8) -,$72.14,"$150,060",3.7,$53.07,$68.27,$70.40,$75.00,$95.18,"$110,380","$142,000","$146,430","$156,000","$197,970",(8) -,(8) -
District of Columbia (11-00000),800,18.9,$76.22,"$158,550",3.7,$50.81,$60.51,$75.52,$88.24,$104.84,"$105,680","$125,860","$157,080","$183,530","$218,080",1.123,2.7
Florida (12-00000),"2,040",8.7,$66.48,"$138,280",3.5,$37.75,$50.48,$63.96,$80.00,$96.97,"$78,520","$105,000","$133,040","$166,410","$201,700",0.208,0.5
Georgia (13-00000),"2,930",4.8,$68.07,"$141,590",0.9,$45.96,$60.11,$65.04,$81.44,$87.44,"$95,600","$125,020","$135,280","$169,400","$181,880",0.603,1.4
Hawaii (15-00000),70,23.1,$72.21,"$150,190",4.7,$46.26,$62.50,$71.87,$79.65,$87.51,"$96,210","$130,010","$149,500","$165,670","$182,010",0.106,0.3
Idaho (16-00000),350,23.4,$62.61,"$130,240",8.0,$38.04,$43.24,$60.59,$83.57,$87.58,"$79,130","$89,950","$126,030","$173,830","$182,170",0.416,1.0
Illinois (17-00000),"1,460",8.1,$65.56,"$136,370",2.5,$39.59,$50.17,$64.66,$78.19,$90.66,"$82,350","$104,350","$134,490","$162,640","$188,570",0.241,0.6
Indiana (18-00000),670,22.3,$63.53,"$132,150",3.8,$39.74,$52.35,$64.01,$75.62,$79.58,"$82,660","$108,880","$133,150","$157,300","$165,520",0.209,0.5
Iowa (19-00000),280,12.6,$60.05,"$124,910",4.6,$39.93,$50.98,$63.16,$69.09,$79.34,"$83,050","$106,050","$131,370","$143,700","$165,030",0.182,0.4
Kansas (20-00000),390,35.6,$60.09,"$124,980",13.2,$39.56,$49.15,$62.05,$64.82,$76.91,"$82,280","$102,240","$129,060","$134,830","$159,970",0.271,0.6
Kentucky (21-00000),510,11.9,$53.08,"$110,400",4.1,$27.39,$34.16,$49.31,$67.30,$79.47,"$56,960","$71,050","$102,560","$139,990","$165,290",0.254,0.6
Louisiana (22-00000),350,24.6,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,0.184,0.4
Maine (23-00000),250,31.5,$64.52,"$134,200",10.6,$38.89,$48.56,$74.42,$74.42,$74.97,"$80,900","$101,010","$154,790","$154,790","$155,930",0.389,0.9
Maryland (24-00000),"1,420",17.1,$68.76,"$143,020",7.1,$38.62,$52.47,$67.65,$83.26,$95.36,"$80,330","$109,150","$140,710","$173,180","$198,350",0.516,1.2
Massachusetts (25-00000),"1,720",12.9,$77.40,"$161,000",3.4,$52.16,$63.57,$77.48,$86.50,$100.51,"$108,500","$132,230","$161,160","$179,910","$209,050",0.471,1.1
Michigan (26-00000),"1,150",10.0,$56.54,"$117,600",3.6,$34.09,$44.59,$58.08,$68.69,$80.35,"$70,910","$92,740","$120,810","$142,870","$167,120",0.262,0.6
Minnesota (27-00000),910,7.9,$61.41,"$127,730",2.1,$43.54,$51.28,$62.70,$69.31,$78.63,"$90,560","$106,650","$130,420","$144,160","$163,540",0.312,0.7
Mississippi (28-00000),110,15.1,$44.42,"$92,400",2.4,$22.93,$35.24,$43.74,$54.16,$64.11,"$47,690","$73,300","$90,980","$112,660","$133,350",0.093,0.2
Missouri (29-00000),"1,840",10.4,$54.20,"$112,730",2.1,$29.77,$37.85,$52.32,$65.34,$79.67,"$61,920","$78,720","$108,820","$135,910","$165,710",0.629,1.5
Montana (30-00000),50,27.8,$59.85,"$124,500",9.3,$36.95,$39.20,$55.89,$79.61,$87.70,"$76,850","$81,540","$116,250","$165,580","$182,420",0.099,0.2
Nebraska (31-00000),590,10.9,$62.38,"$129,750",2.8,$43.25,$50.77,$63.62,$69.42,$81.45,"$89,970","$105,600","$132,320","$144,390","$169,420",0.584,1.4
Nevada (32-00000),320,14.0,$59.62,"$124,010",6.4,$22.22,$39.30,$62.68,$71.03,$98.48,"$46,210","$81,740","$130,360","$147,740","$204,840",0.211,0.5
New Jersey (34-00000),"2,530",7.5,$69.36,"$144,260",2.1,$42.57,$49.90,$69.18,$80.90,$100.17,"$88,550","$103,790","$143,900","$168,280","$208,360",0.595,1.4
New Mexico (35-00000),130,24.8,$56.55,"$117,620",8.9,$32.99,$46.80,$57.75,$67.41,$74.59,"$68,620","$97,340","$120,120","$140,210","$155,140",0.148,0.3
New York (36-00000),"4,180",5.8,$66.27,"$137,840",2.0,$37.94,$48.12,$61.67,$81.91,$98.96,"$78,910","$100,080","$128,270","$170,370","$205,830",0.438,1.0
North Carolina (37-00000),"4,060",19.0,$62.38,"$129,750",2.3,$37.70,$49.69,$62.77,$73.49,$82.45,"$78,420","$103,360","$130,560","$152,860","$171,500",0.829,2.0
North Dakota (38-00000),50,7.9,$54.24,"$112,830",1.1,$47.54,$49.56,$55.83,$58.67,$61.53,"$98,870","$103,080","$116,120","$122,040","$127,980",0.111,0.3
Ohio (39-00000),"2,230",6.0,$64.02,"$133,170",2.3,$41.38,$51.37,$62.42,$73.68,$83.56,"$86,070","$106,850","$129,840","$153,260","$173,810",0.403,1.0
Oklahoma (40-00000),730,21.1,$64.36,"$133,880",8.6,$33.95,$44.47,$63.64,$86.56,$86.59,"$70,610","$92,500","$132,360","$180,040","$180,100",0.432,1.0
Oregon (41-00000),710,15.8,$70.93,"$147,530",3.9,$47.04,$57.16,$67.14,$84.55,$93.93,"$97,840","$118,890","$139,660","$175,860","$195,380",0.361,0.9
Pennsylvania (42-00000),"2,240",6.6,$62.56,"$130,130",2.2,$35.70,$49.87,$62.04,$75.11,$85.57,"$74,260","$103,740","$129,040","$156,220","$177,980",0.372,0.9
Puerto Rico (72-00000),80,27.5,$37.58,"$78,160",4.8,$24.61,$29.90,$37.16,$46.00,$50.91,"$51,180","$62,190","$77,300","$95,690","$105,890",0.088,0.2
Rhode Island (44-00000),190,27.5,$71.80,"$149,350",10.2,$47.49,$59.99,$65.63,$88.50,$106.00,"$98,790","$124,770","$136,510","$184,070","$220,490",0.389,0.9
South Carolina (45-00000),730,9.0,$61.70,"$128,340",3.0,$37.13,$47.02,$61.75,$76.57,$85.51,"$77,230","$97,800","$128,440","$159,270","$177,860",0.322,0.8
