One occupation for multiple geographical areas,,,,,,
,,,,,,
Occupation: Data Scientists (SOC code 15-2051),,,,,,
Period: May 2024,,,,,,
,,,,,,
Area Name,Annual mean wage (2),,,,,
Alabama (01-00000),"$102,970",,,,,
Alaska (02-00000),"$88,690",,,,,
Arizona (04-00000),"$112,460",,,,,
Arkansas (05-00000),"$104,560",,,,,
California (06-00000),"$155,450",,,,,
Colorado (08-00000),"$118,250",,,,,
Connecticut (09-00000),"$120,270",,,,,
Delaware (10-00000),(8) -,,,,,
District of Columbia (11-00000),"$148,170",,,,,
Florida (12-00000),"$117,670",,,,,
Georgia (13-00000),"$111,020",,,,,
Hawaii (15-00000),"$124,530",,,,,
Idaho (16-00000),"$120,410",,,,,
Illinois (17-00000),"$119,010",,,,,
Indiana (18-00000),"$92,620",,,,,
Iowa (19-00000),"$97,300",,,,,
Kansas (20-00000),"$107,300",,,,,
Kentucky (21-00000),"$100,410",,,,,
Louisiana (22-00000),"$71,740",,,,,
Maine (23-00000),"$101,890",,,,,
Maryland (24-00000),"$135,370",,,,,
Massachusetts (25-00000),"$139,670",,,,,
Michigan (26-00000),"$102,030",,,,,
Minnesota (27-00000),"$118,110",,,,,
Mississippi (28-00000),"$77,830",,,,,
Missouri (29-00000),"$95,310",,,,,
Montana (30-00000),"$111,490",,,,,
Nebraska (31-00000),"$97,720",,,,,
Nevada (32-00000),"$98,820",,,,,
New Hampshire (33-00000),"$102,230",,,,,
New Jersey (34-00000),"$131,800",,,,,
New Mexico (35-00000),"$86,520",,,,,
New York (36-00000),"$133,450",,,,,
North Carolina (37-00000),"$118,020",,,,,
North Dakota (38-00000),"$94,130",,,,,
Ohio (39-00000),"$100,260",,,,,
Oklahoma (40-00000),"$89,940",,,,,
Oregon (41-00000),"$124,060",,,,,
Pennsylvania (42-00000),"$107,450",,,,,
Puerto Rico (72-00000),"$72,370",,,,,
Rhode Island (44-00000),"$119,400",,,,,
South Carolina (45-00000),"$96,970",,,,,
South Dakota (46-00000),"$92,460",,,,,
Tennessee (47-00000),"$114,830",,,,,
Texas (48-00000),"$114,800",,,,,
Utah (49-00000),"$119,640",,,,,
Vermont (50-00000),"$119,630",,,,,
Virginia (51-00000),"$132,230",,,,,
Washington (53-00000),"$162,730",,,,,
West Virginia (54-00000),"$102,770",,,,,
Wisconsin (55-00000),"$105,540",,,,,
Wyoming (56-00000),"$85,480",,,,,
Footnotes:,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,
(8) Estimate not released.,,,,,,
,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,
,,,,,,
"Data extracted on November 05, 2025",,,,,,
