Consumer Price Index for All Urban Consumers (CPI-U),,,,,
12-Month Percent Change,,,,,
,,,,,
Series Id:,CUUR0000SA0L1E,,,,
Not Seasonally Adjusted,,,,,
Series Title:,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",,,,
Area:,U.S. city average,,,,
Item:,All items less food and energy,,,,
Base Period:,1982-84=100,,,,
Years:,2000 to 2024,,,,
,,,,,
Year,Annual,,,,
2000,2.4,,,,
2001,2.6,,,,
2002,2.4,,,,
2003,1.4,,,,
2004,1.8,,,,
2005,2.2,,,,
2006,2.5,,,,
2007,2.3,,,,
2008,2.3,,,,
2009,1.7,,,,
2010,1.0,,,,
2011,1.7,,,,
2012,2.1,,,,
2013,1.8,,,,
2014,1.7,,,,
2015,1.8,,,,
2016,2.2,,,,
2017,1.8,,,,
2018,2.1,,,,
2019,2.2,,,,
2020,1.7,,,,
2021,3.6,,,,
2022,6.2,,,,
2023,4.8,,,,
2024,3.4,,,,
